"Status","Name"
"OK","MapsBroker"
"OK","McpManagementService"
"OK","MicronCacheMonitor"
"OK","MicrosoftEdgeElevationService"
"OK","MixedRealityOpenXRSvc"
"OK","mpssvc"
"OK","MSDTC"
"OK","MSiSCSI"
"OK","msiserver"
"OK","MsKeyboardFilter"
"OK","NaturalAuthentication"
"OK","NcaSvc"
"OK","NcbService"
"OK","NcdAutoSetup"
"OK","Netlogon"
"OK","Netman"
"OK","netprofm"
"UNKNOWN","NetSetupSvc"
"OK","NetTcpPortSharing"
"OK","NgcCtnrSvc"
"OK","NgcSvc"
"OK","NlaSvc"
"OK","nsi"
"OK","p2pimsvc"
"OK","p2psvc"
"OK","PcaSvc"
"OK","PeerDistSvc"
"OK","perceptionsimulation"
"OK","PerfHost"
"OK","PhoneSvc"
"OK","pla"
"OK","PlugPlay"
"OK","PNRPAutoReg"
"OK","PNRPsvc"
"OK","PolicyAgent"
"OK","Power"
"OK","PrintNotify"
"OK","ProfSvc"
"OK","PushToInstall"
"OK","QWAVE"
"OK","RasAuto"
"OK","RasMan"
"OK","RemoteAccess"
"OK","RemoteRegistry"
"OK","RetailDemo"
"OK","RmSvc"
"OK","RpcEptMapper"
"OK","RpcLocator"
"OK","RpcSs"
"OK","SamSs"
"OK","SCardSvr"
"OK","ScDeviceEnum"
"OK","Schedule"
"OK","SCPolicySvc"
"OK","SDRSVC"
"OK","seclogon"
"OK","SecurityHealthService"
"OK","SEMgrSvc"
"OK","SENS"
"OK","Sense"
"OK","SensorDataService"
"OK","SensorService"
"OK","SensrSvc"
"OK","SessionEnv"
"OK","SgrmBroker"
"OK","SharedAccess"
"OK","SharedRealitySvc"
"OK","ShellHWDetection"
"OK","shpamsvc"
"OK","smphost"
"OK","SmsRouter"
"OK","SNMPTRAP"
"OK","spectrum"
"OK","Spooler"
"OK","sppsvc"
"OK","SSDPSRV"
"OK","ssh-agent"
"OK","SstpSvc"
"OK","StateRepository"
"OK","stisvc"
"OK","StorSvc"
"OK","svsvc"
"OK","swprv"
"OK","SysMain"
"OK","SystemEventsBroker"
"OK","TabletInputService"
"OK","TapiSrv"
"OK","TermService"
"OK","Themes"
"OK","TieringEngineService"
"OK","TimeBrokerSvc"
"OK","TokenBroker"
"OK","TrkWks"
"OK","TroubleshootingSvc"
"OK","TrustedInstaller"
"OK","tzautoupdate"
"OK","UevAgentService"
"OK","uhssvc"
"OK","UmRdpService"
"OK","upnphost"
"OK","UserManager"
"OK","UsoSvc"
"OK","VacSvc"
"OK","VaultSvc"
"OK","vds"
"OK","vmicguestinterface"
"OK","vmicheartbeat"
"OK","vmickvpexchange"
"OK","vmicrdv"
"OK","vmicshutdown"
"OK","vmictimesync"
"OK","vmicvmsession"
"OK","vmicvss"
"OK","VSS"
"OK","W32Time"
"OK","WaaSMedicSvc"
"OK","WalletService"
"OK","WarpJITSvc"
"OK","wbengine"
"OK","WbioSrvc"
"OK","Wcmsvc"
"OK","wcncsvc"
"OK","WdiServiceHost"
"OK","WdiSystemHost"
"OK","WdNisSvc"
"OK","WebClient"
"OK","Wecsvc"
"OK","WEPHOSTSVC"
"OK","wercplsupport"
"OK","WerSvc"
"OK","WFDSConMgrSvc"
"OK","WiaRpc"
"OK","WinDefend"
"OK","WinHttpAutoProxySvc"
"OK","Winmgmt"
"OK","WinRM"
"OK","wisvc"
"OK","WlanSvc"
"OK","wlidsvc"
"OK","wlpasvc"
"OK","WManSvc"
"OK","wmiApSrv"
"OK","WMPNetworkSvc"
"OK","workfolderssvc"
"OK","WpcMonSvc"
"OK","WPDBusEnum"
"OK","WpnService"
"OK","wscsvc"
"OK","WSearch"
"OK","wuauserv"
"OK","WwanSvc"
"OK","XblAuthManager"
"OK","XblGameSave"
"OK","XboxGipSvc"
"OK","XboxNetApiSvc"
"OK","AarSvc_569c422"
"OK","BcastDVRUserService_569c422"
"OK","BluetoothUserService_569c422"
"OK","CaptureService_569c422"
"OK","cbdhsvc_569c422"
"OK","CDPUserSvc_569c422"
"OK","ConsentUxUserSvc_569c422"
"OK","CredentialEnrollmentManagerUserSvc_569c422"
"OK","DeviceAssociationBrokerSvc_569c422"
"OK","DevicePickerUserSvc_569c422"
"OK","DevicesFlowUserSvc_569c422"
"OK","MessagingService_569c422"
"OK","OneSyncSvc_569c422"
"OK","PimIndexMaintenanceSvc_569c422"
"OK","PrintWorkflowUserSvc_569c422"
"OK","UdkUserSvc_569c422"
"OK","UnistoreSvc_569c422"
"OK","UserDataSvc_569c422"
"OK","WpnUserService_569c422"
